text,author,image_path,likes,replies,views,url
"Stijn Noorman
@stijnnoorman
·
"Build in Public
Soham
@soham_nayak04
·
11h
I earned $0 in July.
But I gained:

1400+ new followers on X
8.6M impressions
Met incredible people
Started my own company

Not all wins are financial.
Some are foundational.
25
3
58
2.9K",,,58,25,0,https://twitter.com/soham_nayak04/status/1950989511552643211,2025-08-01T11:48:36.419289
"Surya Pratap Singh
@SuryaDoesIt
·
13h
My August plans are <~>
-> Linear Algebra 
-> Calculus 
-> 100 DSA Problems ,practice regularly 
-> Learn to code few ML algorithms from scratch (using numpy )
-> Practice maths questions Regularly and develop deep understanding of mathematical concepts 

Will share results !!!
3
3
101
2.5K",SuryaDoesIt,,101,3,0,https://twitter.com/SuryaDoesIt/status/1950962612273070239,2025-08-01T11:51:37.251386
"Brian
@BreakTheKnown
·
1h
Your diet is either fueling your body or feeding your problems.

Every bite is a choice.
28
2
46
264",BreakTheKnown,,46,28,0,https://twitter.com/BreakTheKnown/status/1951146236641251751,2025-08-01T11:54:58.758788
"Saurabh
@TheOvermanEthos
·
15h
All you need is a laptop and internet to take over the world.
38
5
76
1.8K",TheOvermanEthos,,76,38,0,https://twitter.com/TheOvermanEthos/status/1950926941697040821,2025-08-01T11:58:03.834880
"Build in Public
Sumya
@sumjitg
·
12h
Be honest,

coding is hard or not?
164
8
141
15K",,,141,164,0,https://twitter.com/sumjitg/status/1950974227659550921,2025-08-01T12:08:15.183929
"Build in Public
Tenzin Dhonyoe
@_tenZdhon_
·
16h
finish this sentence

gpt-5 will probably _______
208
5
108
24K",,,108,208,0,https://twitter.com/_tenZdhon_/status/1950922737049800742,2025-08-01T12:11:04.350270
"Build in Public
Tom Han
@tomhan245
·
20h
51 days ago, I was nobody
38
113
3.8K",,,113,38,0,https://twitter.com/tomhan245/status/1950866977465180360,2025-08-01T12:13:47.590338
"Build in Public
Tushar (leadlee.co)
@TusharKapil003
·
21h
My SaaS just hit 900 users
25
3
54
2.1K",,,54,25,0,https://twitter.com/TusharKapil003/status/1950843738819084337,2025-08-01T12:17:14.685770
"Build in Public
Brex
@ImpactXpert
·
11h
Hot take: 

The best product feedback comes from users who almost didn't sign up.

What made them hesitate?
28
1
48
1.8K",,,48,28,0,https://twitter.com/ImpactXpert/status/1951006263405433025,2025-08-01T12:20:04.686750
"Software Engineering
Senpai Says
@Senpaisaysbye
·
13h
ever deleted code that took days to write?
71
6
78
5.7K",,,78,71,0,https://twitter.com/Senpaisaysbye/status/1950968163849359485,2025-08-01T12:23:01.058961
"Build in Public
Hwan ChinYang
@HwanChinYang
·
18h
Shitposting is marketing.
If it gets attention, it works.
Welcome to 2025.
55
7
88
3.6K",,,88,55,0,https://twitter.com/HwanChinYang/status/1950892738876264642,2025-08-01T12:40:49.600493
"Build in Public
Stephen
@stephendotgg
·
6h
I'm constantly getting banned from subreddits while marketing. How are you dealing with this?
22
21
1.7K",,,21,22,0,https://twitter.com/stephendotgg/status/1951081022235214015,2025-08-01T12:43:27.370519
"Build in Public
Dmytro Katyukha
@D1mKat
·
15h
Did you validate before building?

Or just started and figured it out later?
94
4
68
11K",,,68,94,0,https://twitter.com/D1mKat/status/1950951308657098944,2025-08-01T12:46:11.180088
"Build in Public
Maox
@maoxai_
·
14h
July 1st:
- 1,700 followers
- MVP live on App Store
- $0 revenue

July 31st:
- 3,400+ followers
- App V1 stable live on App Store
- 700K views on TikTok
- $130+ revenue

One focused month can change everything. Don't give up.
49
3
190
9.7K",,,190,49,0,https://twitter.com/maoxai_/status/1950966302304018585,2025-08-01T13:06:58.667207
"Brian
@BreakTheKnown
·
23h
Believe you’re capable of anything.

Feel entitled to nothing.

Those who live this paradox run the world.
39
12
88
1.7K",BreakTheKnown,,88,39,0,https://twitter.com/BreakTheKnown/status/1950830157683380683,2025-08-01T13:08:13.106021
"Build in Public
shirish
@shiri_shh
·
22h
you need $100 MRR in 7 days. 

no ads. 

what's your strategy?
106
12
147
14K",,,147,106,0,https://twitter.com/shiri_shh/status/1950853601242316896,2025-08-01T13:10:57.142789
"Build in Public
Tenzin Dhonyoe
@_tenZdhon_
·
Jul 30
what’s stopping you from being lucky
34
4
29
5.7K",,,29,34,0,https://twitter.com/_tenZdhon_/status/1950548130866356264,2025-08-01T13:30:54.973651
"Build in Public
Shakil
@shakilkamran
·
23h
I need 22 out of 500. Wish me luck!
20
46
2.3K",,,46,20,0,https://twitter.com/shakilkamran/status/1950841495629803943,2025-08-01T13:33:32.342803
"Build in Public
Tenzin Dhonyoe
@_tenZdhon_
·
Jul 30
which one did you do first

-> Product market fit
-> Market research
-> User interviews
-> Built the MVP
-> Pivot
30
2
25
5.2K",,,25,30,0,https://twitter.com/_tenZdhon_/status/1950579556760301902,2025-08-01T13:36:37.409310
"Build in Public
Marina Cina
@cinamarina
·
15h
Learn a sport? → Consistency
Build a product? → Consistency
Grow on X? → Consistency
Change your life? → Consistency

Consistency > Everything
66
24
151
4.4K",,,151,66,0,https://twitter.com/cinamarina/status/1950953864154477039,2025-08-01T13:39:33.581566
"Karl Littleboy
@karllittleboy
·
1h
Today's hard is tomorrow's baseline.
11
15
182",karllittleboy,,15,11,0,https://twitter.com/karllittleboy/status/1951176825952178268,2025-08-01T14:09:41.286285
"Build in Public
crafter
@its_me_crafter
·
1h
The urge to learn everything
15
4
22
998",,,22,15,0,https://twitter.com/its_me_crafter/status/1951192497499042114,2025-08-01T15:01:00.996787
"Dakota Robertson
@WrongsToWrite
·
1h
There is no good story without stakes.

Take more risks.
24
34
990",WrongsToWrite,,34,24,0,https://twitter.com/WrongsToWrite/status/1951199483632455893,2025-08-01T15:07:17.048533
"Build in Public
Isaiah Brees
@BreesIsaiah
·
22h
Your account won’t grow just by scrolling.
Your business won’t grow if no one knows you.

Want results?

•Comment daily
•Build relationships
•Share what you’re working on

That’s where the real momentum starts.
42
1
69
2.1K",,,69,42,0,https://twitter.com/BreesIsaiah/status/1950874469670563973,2025-08-01T15:31:04.890570
"Build in Public
Andrea Mezzadra
@____Mezza____
·
23h
11h/day building...

Still feels like I'm behind...

You?
33
2
40
1.8K",,,40,33,0,https://twitter.com/____Mezza____/status/1950876166123921819,2025-08-01T15:51:39.080355
"Build in Public
anuj
@asapanuj
·
Jul 30
i just lost ₹12,000 on Binance P2P this evening.
paid for USDT, but the seller never released it.
shared fake “released” screenshots.

no funds. no help. no closure.

if you're using P2P, double check everything.
 crypto is powerful, but trust is fragile.
28
5
28
4.9K",,,28,28,0,https://twitter.com/asapanuj/status/1950588450601832573,2025-08-01T16:03:27.810617
"Umer Arshad
@UmerArshad01
·
6h
What do you love most about your job?
38
34
306",UmerArshad01,,34,38,0,https://twitter.com/UmerArshad01/status/1951142069159735672,2025-08-01T16:30:11.276811
